connection,attention,meditation,delta, theta, low alpha, high alpha, low beta, high beta, low gamma, high gamma, id
0,20,57,70731,99962,11632,22108,5556,24258,2126,1174,1
26,20,57,316082,29038,5023,25425,3281,12253,9782,699,1
0,23,53,1820677,192114,14050,84729,34940,53084,13297,6031,1
26,23,53,437675,59769,4884,12567,13888,32421,1753,910,1
0,11,54,853654,196063,47605,53981,35085,36721,18476,7905,1
0,17,43,1738776,361436,21257,48008,8417,122757,13119,10239,1
26,17,43,588073,15956,9201,23698,4927,15434,7894,2770,1
0,17,48,90899,58985,14183,20319,8370,14213,10243,1900,1
26,17,48,708907,95687,4217,40017,1726,20645,4025,1899,1
26,17,48,159136,10516,14508,26428,4542,38381,2142,1986,1
26,17,48,186246,20916,7932,34583,2188,65855,2776,2278,1
26,17,48,216058,147001,6769,19810,4364,37852,2906,605,1
26,17,48,323645,35036,13297,27670,3548,38830,565,837,1
0,29,61,115226,7811,6797,41349,1745,38727,2238,1485,1
26,29,61,164885,56097,6143,19120,1728,43176,5380,1235,1
26,29,61,839050,67299,13174,12598,8666,8774,9965,1728,1
26,29,61,43193,3515,1570,6611,487,13552,357,347,1
26,29,61,514984,110025,17263,16880,4068,18525,3625,1792,1
0,35,69,1300465,110262,23562,94498,8632,50537,34737,9117,1
26,35,69,55220,62607,20629,31744,1962,58141,1356,1773,1
26,35,69,457914,43509,7180,16858,10348,56211,1564,1296,1
26,35,69,130655,8894,2036,6709,1040,4189,6708,3280,1
26,35,69,864077,55081,2764,16582,8912,34835,2819,2041,1
0,35,88,104833,51360,18534,34653,6926,26832,1412,1694,1
0,37,93,1255612,151764,26143,132875,17813,52688,26177,2836,1
26,37,93,19613,21697,1565,6562,625,13376,358,459,1
0,27,83,959624,77089,46861,50485,104867,46933,84944,5660,1
26,27,83,776691,30665,4401,12670,13797,18493,5379,5815,1
0,40,80,2611961,194688,134813,507611,86741,845050,27096,21789,1
26,40,80,61230,14420,291,6337,619,10976,400,191,1
26,40,80,146348,9910,4735,7036,2700,5995,988,1398,1
26,40,80,868502,46191,13156,34742,14538,28783,26825,8129,1
0,29,88,1871032,719636,806310,535375,237551,190106,328186,145219,1
0,41,80,87433,36595,11989,20446,6762,48278,2689,1881,1
26,41,80,853751,74709,6512,22400,13396,48580,1720,2009,1
0,51,81,797422,92458,11342,125209,25804,165470,17206,7671,1
0,47,80,592587,175432,74946,120674,20777,196976,6062,3903,1
26,47,80,201636,97497,4823,40868,1365,64343,2378,888,1
26,47,80,458603,61313,14361,25212,3029,50803,3552,1371,1
26,47,80,669805,17498,2796,6727,14586,16532,1051,1334,1
26,47,80,209503,67916,20749,27423,4070,20212,4670,1486,1
26,47,80,21838,10758,3386,13823,251,12105,490,540,1
26,47,80,525231,111445,29689,28750,6245,32711,7620,7786,1
0,56,70,97167,36810,3447,35518,11639,24758,3922,1159,1
